phone_id,location_date,latitude,longitude
33,2022-11-01 01:16:05.0,39.5076050000,2.5301115000
23,2022-11-01 01:16:15.0,39.5099317400,2.5298015300
14,2022-11-01 01:16:22.0,39.5097140000,2.5306896000
50,2022-11-01 01:16:44.0,39.5179408300,2.5312155500
33,2022-11-01 01:17:08.0,39.5061195000,2.5297488000
23,2022-11-01 01:17:17.0,39.5098977500,2.5297788000
14,2022-11-01 01:17:24.0,39.5098220000,2.5307575000
50,2022-11-01 01:17:49.0,39.5142151100,2.5334643000
33,2022-11-01 01:18:11.0,39.5051597000,2.5302736000
23,2022-11-01 01:18:19.0,39.5099604500,2.5298081400
14,2022-11-01 01:18:26.0,39.5097170000,2.5306859000
50,2022-11-01 01:18:55.0,39.5109095100,2.5328042700
33,2022-11-01 01:19:13.0,39.5055961000,2.5320088000
23,2022-11-01 01:19:21.0,39.5099632600,2.5298320600
14,2022-11-01 01:19:28.0,39.5106089000,2.5311444000
50,2022-11-01 01:20:00.0,39.5104036000,2.5313915500
33,2022-11-01 01:20:16.0,39.5080636000,2.5323992000
23,2022-11-01 01:20:23.0,39.5099361800,2.5297930900
14,2022-11-01 01:20:30.0,39.5098701000,2.5308535000
50,2022-11-01 01:21:04.0,39.5104269900,2.5310067700
33,2022-11-01 01:21:19.0,39.5098352000,2.5329254000
23,2022-11-01 01:21:24.0,39.5099602600,2.5297622500
14,2022-11-01 01:21:32.0,39.5098475000,2.5308650000
50,2022-11-01 01:22:08.0,39.5105513500,2.5298544700
33,2022-11-01 01:22:22.0,39.5111582000,2.5349187000
23,2022-11-01 01:22:26.0,39.5099442100,2.5298594700
14,2022-11-01 01:22:34.0,39.5098596000,2.5306151000
50,2022-11-01 01:23:16.0,39.5072078400,2.5278357800
33,2022-11-01 01:23:24.0,39.5088436000,2.5350436000
23,2022-11-01 01:23:28.0,39.5098973300,2.5298971100
14,2022-11-01 01:23:36.0,39.5102017000,2.5308809000
50,2022-11-01 01:24:20.0,39.5044519300,2.5266590900
33,2022-11-01 01:24:27.0,39.5088377000,2.5355376000
23,2022-11-01 01:24:32.0,39.5099746700,2.5297710200
14,2022-11-01 01:24:38.0,39.5098558000,2.5308494000
50,2022-11-01 01:25:23.0,39.5044048500,2.5268697600
33,2022-11-01 01:25:29.0,39.5088648000,2.5355126000
23,2022-11-01 01:25:34.0,39.5098811000,2.5297521700
14,2022-11-01 01:25:40.0,39.5100108000,2.5308412000
50,2022-11-01 01:26:29.0,39.5038258500,2.5268686000
33,2022-11-01 01:26:32.0,39.5088963000,2.5354979000
23,2022-11-01 01:26:36.0,39.5098949000,2.5298548800
14,2022-11-01 01:26:42.0,39.5102762000,2.5309825000
50,2022-11-01 01:27:33.0,39.5037994500,2.5277702500
33,2022-11-01 01:27:34.0,39.5089656000,2.5355449000
23,2022-11-01 01:27:38.0,39.5099720800,2.5297667500
14,2022-11-01 01:27:44.0,39.5092322000,2.5304386000
50,2022-11-01 01:28:36.0,39.5041543900,2.5279500000
33,2022-11-01 01:28:37.0,39.5088996000,2.5355426000
23,2022-11-01 01:28:41.0,39.5099045600,2.5297926200
14,2022-11-01 01:28:47.0,39.5083244000,2.5297311000
33,2022-11-01 01:29:39.0,39.5088664000,2.5355543000
50,2022-11-01 01:29:40.0,39.5041565600,2.5278820100
23,2022-11-01 01:29:44.0,39.5099619500,2.5300763800
14,2022-11-01 01:29:49.0,39.5038166000,2.5276315000
33,2022-11-01 01:30:42.0,39.5089443000,2.5355112000
50,2022-11-01 01:30:44.0,39.5041436200,2.5277640900
23,2022-11-01 01:30:47.0,39.5102209900,2.5298621300
14,2022-11-01 01:30:52.0,39.5051562000,2.5299830000
33,2022-11-01 01:31:45.0,39.5089161000,2.5355042000
50,2022-11-01 01:31:48.0,39.5040339400,2.5278006100
23,2022-11-01 01:31:51.0,39.5094902000,2.5302623800
14,2022-11-01 01:31:54.0,39.5053015000,2.5321591000
